message_id,date,sender_id,first_name,last_name,username,message,reply_to
4211,2025-04-22 07:14:02,-1001963784167,,,,,
4210,2025-04-21 19:18:28,-1001963784167,,,,"💎 Pump result: Very successful pump again, with a peak of 2400 % and a very BIG volume.🚀🚀🚀

➡️💎High:  1 🚀
➡️💎Low:   0.04🚀

💎 We can safely say that this pump was a  success and that the upcoming one will be much BIGGER .

💎 We are also seeing a lot of positive feedback for the pump and we are glad to know many members managed to make profit on this pump. 

💎 Stay tuned for our next pump!",
4209,2025-04-21 19:00:04,-1001963784167,,,,Coin name:BUY,
4208,2025-04-21 18:58:05,-1001963784167,,,,"⏰2️⃣ MINUTES until the pump 💎💰🔔

✅ The next message will reveal the coin name!
📣🔔 Turn on Notifications 📣🔔

🍀 Good luck, everyone! 🤜💰🤛
@CPSAdm",
4207,2025-04-21 18:57:46,-1001963784167,,,,"⏰ 5️⃣ MINUTES until the Pump! 💎💰🔔

✅ The coin name will be shared as text.
📣🔔 Turn on Notifications 📣🔔
📌 Support: @CPSAdm",
4206,2025-04-21 18:51:32,-1001963784167,,,,"⏰ 🔟 MINUTES until the Pump! 💎💰🔔

✅ VIP members receive the coin name before the pump 🚀

📣🔔 Turn on Notifications 📣🔔
📌 Support: @CPSAdm",
4205,2025-04-21 18:33:33,-1001963784167,,,,"⏰ 3️⃣0️⃣ Minutes left until our Pump! 💎💰🔔

✅ Open our Telegram channel
✅ Open  P2pb2b.com💲
✅ Open Market/Spot search bar
✅ Get ready with your $USDT

🔔 📣 Turn on Notifications 📣🔔
📌 Support: @CPSAdm",
4204,2025-04-21 18:05:35,-1001963784167,,,,"🔔💰💎 ATTENTION 💎💰🔔

Dear members,
⏰1️⃣Hours left until our big pump on P2pb2b.com !🚀
💎Don’t forget to turn ON the notifications 🔔",
4203,2025-04-21 17:06:07,-1001963784167,,,,"🔔💰💎 ATTENTION 💎💰🔔

Dear members,
⏰2️⃣Hours left until our big pump on P2pb2b.com !🚀
💎Don’t forget to turn ON the notifications 🔔",
4202,2025-04-21 13:17:15,-1001963784167,,,,"🔔💰💎 ATTENTION 💎💰🔔

Dear members,
⏰6️⃣Hours left until our big pump on P2pb2b.com !🚀
💎Don’t forget to turn ON the notifications 🔔",
4201,2025-04-21 11:04:20,-1001963784167,,,,"🔔💰💎 ATTENTION 💎💰🔔

Dear members,
⏰8️⃣Hours left until our big pump on P2pb2b.com !🚀
💎Don’t forget to turn ON the notifications 🔔",
4200,2025-04-21 07:58:18,-1001963784167,,,,"📚 HOW TO SELL ON P2B📚

When you add a new ""Sell Order"" - click the top RIGHT price section, circled in RED, to set your selling price. This ensures you are selling above market price and gain profits. If the order is not completed, just cancel it and add a new one.",
4199,2025-04-21 06:37:11,-1001963784167,,,,"📚 HOW TO BUY ON P2B 📚

When you add a new ""Buy Order"" - click the Left price section, circled in black , to set your buying price. This ensures you are buying just above market price, so your order is more likely to go through. If the order is not completed, just cancel it and add a new one.",
4198,2025-04-20 19:02:52,-1001963784167,,,,"🔔💰💎 ATTENTION 💎💰🔔

Dear members,
⏰2️⃣4️⃣Hours left until our big pump on P2pb2b.com !🚀
💎Don’t forget to turn ON the notifications 🔔",
4197,2025-04-20 18:54:14,-1001963784167,,,,,4196
4196,2025-04-20 18:54:11,-1001963784167,,,,"🔔💰💎 Pump Announcement 💎💰🔔

Dear members,
Be here at 8 pm GMT on Monday night for a BIG pump. We have a great target on this pump, at least +1000% increase and thousands of dollars in volume. Together we are strong and there are no obstacles in front of us. ✨🚀✨

  🗓 Date: Monday ,April 21th
  ⏱️ Time: 8 pm GMT ( 8 pm UK 🇬🇧Time)
  🏰 Platform: p2pb2b.com
  💵 Pairing: USDT 💲
  🎯 Target: +1000% 💎🚀💰

☑️ Don’t forget to turn ON the notifications🔔
☑️ Make sure you have USDT in your account to buy the coin 💵
💎 VIP members have the option to buy the coin before the pump and it’s unbelievable how much money our VIP members make💰
@CPSAdm✅",
4194,2025-04-17 18:54:51,-1001963784167,,,,"‼️‼️‼️ ATTENTION ‼️‼️‼️

Dear members,
We are having discounted VIP prices for the next few hours.

Support: @CPSAdm",
4193,2025-04-16 04:21:43,-1001963784167,,,,"❗️❗️❗️ ATTENTION ❗️❗️❗️

Dear members,

If you are enjoying our pumps and you are satisfied with the profits you make here, spread the word about our channel so that we grow larger and have even greater pumps in the future.

Don't miss out the chance to take part in our successful story of changing the financial life of so many.",
4192,2025-04-15 19:19:44,-1001963784167,,,,"💎 Pump result: Successful pump again, with a very high peak of 1300  % and a very BIG volume.

➡️💎High: 0.000052 🚀
➡️💎Low:  0.000004🚀

💎 We can safely say that this pump was a  success and that the upcoming one will be much BIGGER .

💎 We are also seeing a lot of positive feedback for the pump and we are glad to know many members managed to make profit on this pump. 

💎 Stay tuned for our next pump!",
4191,2025-04-15 19:00:06,-1001963784167,,,,Coin name: TITANO,
4190,2025-04-15 18:58:04,-1001963784167,,,,"⏰2️⃣ MINUTES until the pump 💎💰🔔

✅ The next message will reveal the coin name!
📣🔔 Turn on Notifications 📣🔔

🍀 Good luck, everyone! 🤜💰🤛
@CPSAdm",
4189,2025-04-15 18:57:04,-1001963784167,,,,"⏰ 5️⃣ MINUTES until the Pump! 💎💰🔔

✅ The coin name will be shared as text.
📣🔔 Turn on Notifications 📣🔔
📌 Support: @CPSAdm",
